[*] '/workspaces/NYCU-UP-2025-Spring/lab3/sample/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_708      1c780      13ae0     
gop_709      1da50      16080     
gop_710      1d968      15eb0     
gop_711      1c688      138f0     
gop_712      1d980      15ee0     
gop_713      1c6b0      13940     
gop_714      1d998      15f10     
gop_715      1c6c8      13970     
gop_716      1d9b0      15f40     
gop_717      1cbe0      143a0     
gop_718      1deb8      16950     
gop_719      1cc08      143f0     
gop_720      1cb58      14290     
gop_721      1bd98      12710     
gop_722      1d098      14d3c     
gop_723      1bdb0      12740     
gop_724      1d0b0      14d40     
gop_725      1bd58      12690     
gop_726      1d080      14ce0     
gop_727      1bd70      126c0     
gop_728      1d0a0      14d20     
gop_729      1be28      12830     
gop_730      1bd28      12630     
gop_731      1d028      14c30     
gop_732      1c2a0      13120     
gop_733      1d568      156b0     
gop_734      1c2b8      13150     
gop_735      1d580      156e0     
gop_736      1c260      130a0     
gop_737      1d538      15650     
gop_738      1c288      130f0     
gop_739      1d570      156c0     
gop_740      1d4c0      15560     
gop_741      1c228      13030     
gop_742      1d4d8      15590     
gop_743      1c778      13ad0     
gop_744      1da48      16070     
gop_745      1c7a0      13b20     
gop_746      1da78      160d0     
gop_747      1c710      13a00     
gop_748      1da28      16030     
gop_749      1c730      13a40     
gop_750      1c6a8      13930     
gop_751      1d990      15f00     
gop_752      1c6c0      13960     
gop_753      1d9a8      15f30     
gop_754      1cbd8      14390     
gop_755      1deb0      16940     
gop_756      1cc00      143e0     
gop_757      1ded8      16990     
gop_758      1cb90      14300     
gop_759      1de98      16910     
gop_760      1bc08      123f0     
gop_761      1cec8      14970     
gop_762      1bbe8      123b0     
gop_763      1ce18      14810     
gop_764      1bd48      12670     
gop_765      1cb30      14240     
gop_766      1de30      16840     
gop_767      1cb48      14270     
gop_768      1de50      16880     
gop_769      1cb50      14280     
gop_770      1d380      152e0     
gop_771      1c0a8      12d3c     
gop_772      1d2b8      15150     
gop_773      1c250      13080     
gop_774      1d000      14be0     
gop_775      1bcf8      125d0     
gop_776      1d018      14c10     
gop_777      1bd10      12600     
gop_778      1d020      14c20     
gop_779      1bd20      12620     
gop_780      1c520      13620     
gop_781      1d798      15b10     
gop_782      1c6f0      139c0     
gop_783      1d490      15500     
gop_784      1c1f0      12fc0     
gop_785      1d4a8      15530     
gop_786      1c210      13000     
gop_787      1d4b8      15550     
gop_788      1c220      13020     
gop_789      1d4d0      15580     
gop_790      1dc98      16510     
gop_791      1cb78      142d0     
gop_792      1d960      15ea0     
gop_793      1c680      138e0     
gop_794      1d978      15ed0     
gop_795      1c6a0      13920     
gop_796      1d988      15ef0     
gop_797      1c6d0      13980     
gop_798      1d9a0      15f20     
gop_799      1cbd0      14380     
gop_800      1c0d0      12d80     
gop_801      1d398      15310     
gop_802      1c0f8      12dd0     
gop_803      1d3c0      15360     
gop_804      1c110      12e00     
gop_805      1d3d8      15390     
gop_806      1c128      12e30     
gop_807      1d938      15e50     
gop_808      1c630      13840     
gop_809      1d958      15e90     
gop_810      1bc30      12440     
gop_811      1d468      154b0     
gop_812      1c1b8      12f50     
gop_813      1d480      154e0     
gop_814      1c1d0      12f80     
gop_815      1d420      15420     
gop_816      1c188      12ef0     
gop_817      1d440      15460     
gop_818      1c1c0      12f60     
gop_819      1d4e8      155b0     
gop_820      1ca68      140b0     
gop_821      1dd58      16690     
gop_822      1cfd0      14b80     
gop_823      1bcb0      12540     
gop_824      1cfe8      14bb0     
gop_825      1bcd0      12580     
gop_826      1cf68      14ab0     
gop_827      1bc98      12510     
gop_828      1cf88      14af0     
gop_829      1bcb8      12550     
gop_830      1c578      136d0     
gop_831      1d868      15cb0     
gop_832      1c588      136f0     
gop_833      1de00      167e0     
gop_834      1cae8      141b0     
gop_835      1de18      16810     
gop_836      1cb00      141e0     
gop_837      1dda8      16730     
gop_838      1cac0      14160     
gop_839      1ddd8      16790     
gop_840      1d3b8      15350     
gop_841      1c108      12df0     
gop_842      1d3d0      15380     
gop_843      1c120      12e20     
gop_844      1d930      15e40     
gop_845      1c628      13830     
gop_846      1d950      15e80     
gop_847      1c650      13880     
gop_848      1d8b0      15d40     
gop_849      1c5f8      137d0     
gop_850      1d1d8      14f90     
gop_851      1bf00      129e0     
gop_852      1d1a0      14f20     
gop_853      1be78      128d0     
gop_854      1d408      153f0     
gop_855      1bc00      123e0     
gop_856      1cef8      149d0     
gop_857      1bc18      12410     
gop_858      1cf08      149f0     
gop_859      1bc20      12420     
gop_860      1ba38      12050     
gop_861      1cd08      145f0     
gop_862      1df68      16ab0     
gop_863      1cf40      14a60     
gop_864      1dd38      16650     
gop_865      1ca40      14060     
gop_866      1dd48      16670     
gop_867      1ca50      14080     
gop_868      1dd50      16680     
gop_869      1ca60      140a0     
gop_870      1db98      16310     
gop_871      1c840      13c60     
gop_872      1dd88      166f0     
gop_873      1c558      13690     
gop_874      1d850      15c80     
gop_875      1c568      136b0     
gop_876      1d858      15c90     
gop_877      1c570      136c0     
gop_878      1d860      15ca0     
gop_879      1c580      136e0     
gop_880      1c350      13280     
gop_881      1d888      15cf0     
gop_882      1c0c8      12d70     
gop_883      1d390      15300     
gop_884      1c0f0      12dc0     
gop_885      1d3b0      15340     
gop_886      1c100      12de0     
gop_887      1d3c8      15370     
gop_888      1c118      12e10     
gop_889      1d928      15e30     
gop_890      1bef0      129c0     
gop_891      1d1e0      14fa0     
gop_892      1bed0      12980     
gop_893      1d1d0      14f80     
gop_894      1bef8      129d0     
gop_895      1d198      14f10     
gop_896      1be70      128c0     
gop_897      1d400      153e0     
gop_898      1bbf8      123d0     
gop_899      1cef0      149c0     
gop_900      1c948      13e70     
gop_901      1dc18      16410     
gop_902      1cea8      14930     
gop_903      1bb70      122c0     
gop_904      1ced0      14980     
gop_905      1bbc0      12360     
gop_906      1ce40      14860     
gop_907      1bb40      12260     
gop_908      1ce80      148e0     
gop_909      1bbb8      12350     
gop_910      1cd58      14690     
gop_911      1bab8      12150     
gop_912      1cd88      146f0     
gop_913      1c088      12cf0     
